"Suburb_Code","Suburb_Name","Total_15_24_yr"
"20337","Brim",22
"20338","Brimboal",0
"20339","Brimin",4
"20340","Brimpaen",15
"20341","Bringalbert",0
"20342","Brit Brit",8
"20343","Broadford",541
"20344","Broadmeadows (Vic.)",1831
"20345","Broadwater (Vic.)",22
"20346","Brodribb River",4
"20347","Broken Creek",3
"20348","Bromley",3
"20349","Brookfield (Vic.)",1238
"20350","Brooklyn (Vic.)",206
"20351","Brookville",0
"20352","Broomfield",29
"20353","Broughton (Vic.)",20
"20354","Brown Hill (Vic.)",381
"20355","Browns Plains (Vic.)",15
"20356","Bruarong",3
"20357","Brucknell",11
"20358","Brumby",0
"20359","Brunswick (Vic.)",3459
"20360","Brunswick East",1502
"20361","Brunswick West",1802
"20362","Bruthen",84
"20363","Buangor",9
"20364","Buchan",18
"20365","Buchan South",8
"20366","Buckland (Vic.)",14
"20367","Buckley",30
"20368","Buckley Swamp",3
"20369","Buckrabanyule",6
"20370","Budgee Budgee (Vic.)",0
"20371","Budgeree",21
"20372","Budgerum East",0
"20373","Buffalo",33
"20374","Buffalo River",36
"20375","Bulart",6
"20376","Buldah",0
"20377","Bulga (Vic.)",0
"20378","Bulgana",3
"20379","Bulla (Vic.)",66
"20380","Bullaharre",3
"20381","Bullarook",20
"20382","Bullarto",4
"20383","Bullarto South",3
"20384","Bulleen",1226
"20385","Bullengarook",62
"20386","Bullioh",5
"20387","Bullumwaal",0
"20388","Buln Buln",71
"20389","Buln Buln East",21
"20390","Bumberrah",16
"20391","Bunbartha",23
"20392","Bundalaguah",17
"20393","Bundalong",42
"20394","Bundalong South",7
"20395","Bundara",0
"20396","Bunding",3
"20397","Bundoora (Vic.)",6033
"20398","Bung Bong",4
"20399","Bungador",8
"20400","Bungal",8
"20401","Bungalally",10
"20402","Bungaree (Vic.)",28
"20403","Bungeet",3
"20404","Bungeet West",4
"20405","Bungil (Vic.)",0
"20406","Bunguluke",0
"20407","Buninyong",383
"20408","Bunkers Hill",35
"20409","Bunyip",298
"20410","Bunyip North",12
"20411","Buragwonduc",0
"20412","Burkes Bridge",0
"20413","Burkes Flat",0
"20414","Burnbank",3
"20415","Burnewang",3
"20416","Burnley",88
"20417","Burnside (Vic.)",628
"20418","Burnside Heights",752
"20419","Burramboot",4
"20420","Burramine",19
"20421","Burramine South",3
"20422","Burrowye",0
"20423","Burrumbeet",15
"20424","Burwood (Vic.)",3965
"20425","Burwood East",1543
"20426","Bushfield",54
"20427","Bushy Park (Vic.)",10
"20428","Butchers Ridge",3
"20429","Buxton (Vic.)",26
"20430","Byaduk",6
"20431","Byaduk North",11
"20432","Byawatha",19
"20433","Bylands",19
"20434","Byrneside",16
"20435","Cabarita (Vic.)",48
"20436","Cabbage Tree",3
"20437","Cabbage Tree Creek",0
"20438","Cadello",0
"20439","Cairnlea",1515
"20440","Calder Park",0
"20441","Caldermeade",21
"20442","California Gully",568
"20443","Calivil",7
"20444","Callawadda",6
"20445","Callignee",43
"20446","Callignee North",4
"20447","Callignee South",0
"20448","Calrossie",0
"20449","Calulu",14
"20450","Cambarville",0
"20451","Camberwell (Vic.)",3205
"20452","Cambrian Hill",27
"20453","Campbellfield",687
"20454","Campbells Bridge",3
"20455","Campbells Creek",205
"20456","Campbells Forest",3
"20457","Campbelltown (Vic.)",5
"20458","Camperdown (Vic.)",294
"20459","Canadian",550
"20460","Canary Island",0
"20461","Caniambo",16
"20462","Cann River",20
"20463","Cannie",3
"20464","Cannons Creek",69
"20465","Cannum",4
"20466","Canterbury (Vic.)",1247
"20467","Cape Bridgewater",13
"20468","Cape Clear",14
"20469","Cape Conran",0
"20470","Cape Otway",3
"20471","Cape Paterson",67
"20472","Cape Schanck",38
"20473","Cape Woolamai",153
"20474","Capels Crossing",4
"20475","Carag Carag",4
"20476","Caralulup",0
"20477","Caramut",19
"20478","Carapooee",4
"20479","Carapooee West",0
"20480","Carapook",9
"20481","Carboor",7
"20482","Cardigan",127
"20483","Cardigan Village",56
"20484","Cardinia",46
"20485","Cardross",95
"20486","Cargerie",4
"20487","Carina (Vic.)",0
"20488","Caringal",0
"20489","Carisbrook",137
"20490","Carlisle River",11
"20491","Carlsruhe",35
"20492","Carlton (Vic.)",8428
"20493","Carlton North",889
"20494","Carlyle",9
"20495","Carnegie",2449
"20496","Carngham",14
"20497","Caroline Springs",3025
"20498","Carpendeit",17
"20499","Carrajung",9
"20500","Carrajung Lower",4
"20501","Carrajung South",6
"20502","Carranballac",0
"20503","Carron",0
"20504","Carrum",374
"20505","Carrum Downs",2604
"20506","Carwarp",6
"20507","Cashmore",14
"20508","Cassilis (Vic.)",4
"20509","Castella",40
"20510","Casterton",127
"20511","Castle Creek (Vic.)",14
"20512","Castle Donnington",18
"20513","Castlemaine",539
"20514","Catani",50
"20515","Cathcart (Vic.)",9
"20516","Cathkin",0
"20517","Catumnal",0
"20518","Caulfield",672
"20519","Caulfield East",480
"20520","Caulfield North",1855
"20521","Caulfield South",1355
"20522","Caveat",4
"20523","Cavendish",18
"20524","Ceres",30
"20525","Chadstone",1212
"20526","Chandlers Creek",0
"20527","Chapel Flat",0
"20528","Chapple Vale",3
"20529","Charam",3
"20530","Charlemont",40
"20531","Charleroi",8
"20532","Charlton (Vic.)",89
"20533","Chatsworth (Vic.)",5
"20534","Chelsea",601
"20535","Chelsea Heights",623
"20536","Cheltenham (Vic.)",2308
"20537","Chepstowe",8
