"Suburb_Code","Suburb_Name","Tot_15_24_FtPt"
"20719","Deddick Valley",0
"20720","Dederang",3
"20721","Deep Lead",0
"20722","Deepdene (Vic.)",103
"20723","Deer Park",486
"20724","Delacombe",142
"20725","Delahey",326
"20726","Delatite",0
"20727","Delburn",0
"20728","Delegate River",0
"20729","Denicull Creek",0
"20730","Denison",3
"20731","Dennington",25
"20732","Denver",0
"20733","Deptford",0
"20734","Derby (Vic.)",0
"20735","Dereel",3
"20736","Dergholm",0
"20737","Derrimut",208
"20738","Derrinal",0
"20739","Derrinallum",0
"20740","Devenish",3
"20741","Devils River",0
"20742","Devon Meadows",24
"20743","Devon North",3
"20744","Dewhurst",7
"20745","Dhurringile",0
"20746","Diamond Creek",385
"20747","Digby",0
"20748","Diggers Rest",65
"20749","Diggora",0
"20750","Dimboola",15
"20751","Dingee",0
"20752","Dingley Village",309
"20753","Dingwall",0
"20754","Dinner Plain",0
"20755","Dixie (Vic.)",0
"20756","Dixons Creek",6
"20757","Dobie",0
"20758","Docker",0
"20759","Dockers Plains",0
"20760","Docklands",1036
"20761","Doctors Flat",0
"20762","Dollar",0
"20763","Don Valley",7
"20764","Donald",11
"20765","Doncaster",1029
"20766","Doncaster East",1300
"20767","Donnybrook (Vic.)",0
"20768","Donvale",477
"20769","Dooboobetic",0
"20770","Dooen",0
"20771","Dookie",4
"20772","Dookie College",17
"20773","Doreen",370
"20774","Dorodong",0
"20775","Double Bridges",0
"20776","Douglas (Vic.)",0
"20777","Doveton",141
"20778","Dreeite",0
"20779","Dreeite South",0
"20780","Driffield",0
"20781","Drik Drik",0
"20782","Dromana",73
"20783","Dropmore",0
"20784","Drouin",119
"20785","Drouin East",3
"20786","Drouin South",3
"20787","Drouin West",3
"20788","Drumanure",0
"20789","Drumborg",0
"20790","Drumcondra",18
"20791","Drummartin",0
"20792","Drummond",4
"20793","Drummond North",0
"20794","Drung",0
"20795","Dry Diggings",0
"20796","Drysdale",77
"20797","Duchembegarra",0
"20798","Dumbalk",8
"20799","Dumbalk North",0
"20800","Dumosa",0
"20801","Dunach",0
"20802","Dundonnell",0
"20803","Dunkeld (Vic.)",6
"20804","Dunluce",0
"20805","Dunneworthy",0
